0,1,2,3,4,5,6,7,8,9,10,11
0.893,2.4530000000000003,1.9500000000000002,5.707,0.742,2.1990000000000003,6.403,8.813,3.354,2.8270000000000004,2.0010000000000003,1.3450000000000002
2.9749999999999996,3.098,3.873,7.212999999999999,1.742,2.293,7.327,15.162,8.817,7.009,3.1310000000000002,2.086
1.4040000000000001,2.7560000000000002,1.6360000000000001,5.337,0.7060000000000001,2.094,6.685,14.649,8.294,7.495,3.322,1.329
1.633,1.06,2.771,5.4079999999999995,1.2199999999999998,1.0539999999999998,4.675,6.032,4.27,2.488,1.3950000000000002,1.178
1.266,0.864,1.454,6.771999999999999,0.992,0.6020000000000001,6.586,11.145,2.581,1.424,0.7390000000000001,0.7080000000000001
0.7949999999999999,3.053,2.661,2.068,0.458,3.095,6.632,8.625,6.683,3.687,2.123,0.8680000000000001
1.95,2.416,4.854,4.904999999999999,1.1580000000000001,1.9829999999999999,6.417,11.726,8.44,6.703,4.026000000000001,1.2479999999999998
1.1360000000000001,1.086,7.481,7.6739999999999995,1.1680000000000001,3.197,13.840999999999998,12.931000000000001,5.23,1.74,0.9709999999999999,1.043
0.871,8.094999999999999,9.289,2.361,1.483,8.690000000000001,6.742,10.523000000000001,10.839,8.192,4.066,2.696
0.6989999999999998,1.143,0.605,8.603,0.44300000000000006,0.8919999999999999,12.828000000000001,7.329,3.206,1.8510000000000002,1.206,1.096
1.1099999999999999,2.0370000000000004,1.2300000000000002,5.18,3.223,1.6300000000000001,4.329,7.6259999999999994,2.837,2.3459999999999996,1.7950000000000002,1.367
1.844,2.375,0.897,4.098,0.7489999999999999,1.441,4.514,10.163,8.629,6.764999999999999,4.795999999999999,2.74
3.6470000000000002,3.127,1.787,3.2089999999999996,2.2500000000000004,1.6960000000000002,2.2330000000000005,2.502,5.6129999999999995,7.503,6.316,3.7070000000000003
1.6470000000000002,1.871,0.873,5.138,0.9180000000000001,1.3450000000000002,2.825,5.8180000000000005,6.882,4.684,2.638,1.1500000000000001
0.953,0.77,1.8800000000000001,4.74,0.835,0.636,7.728000000000001,11.167,3.8369999999999997,2.622,1.26,0.76
1.0679999999999998,1.322,0.891,7.164,0.951,0.9859999999999999,1.681,4.9239999999999995,4.007,1.384,0.984,0.9689999999999999
3.1279999999999997,3.628,2.3289999999999997,3.8489999999999998,4.074999999999999,2.945,2.9659999999999997,12.678,12.383,7.5440000000000005,2.8939999999999997,1.497
1.8119999999999998,2.305,4.987,4.621,2.0480000000000005,2.8069999999999995,4.6000000000000005,6.757999999999999,4.286,3.364,2.199,1.4029999999999998
1.7840000000000003,1.9940000000000002,0.753,11.936999999999998,1.343,1.0979999999999999,13.168,16.101,7.161,3.058,1.8880000000000001,2.142
1.8230000000000002,1.849,2.198,5.833,1.907,1.585,3.278,7.401,7.544,5.587000000000001,3.2009999999999996,1.758
1.3840000000000001,0.89,1.0810000000000002,3.928,3.314,0.9830000000000001,3.202,7.617,5.655,3.65,1.998,1.194
1.13,1.294,2.383,6.534,0.8319999999999999,1.6700000000000002,8.039,6.053,3.707,2.3770000000000002,1.702,0.815
1.0790000000000002,1.0430000000000001,0.9550000000000001,2.341,1.207,0.6930000000000001,2.151,4.777,2.6109999999999998,2.011,0.9670000000000001,0.5770000000000001
1.2469999999999999,1.4589999999999999,1.052,2.7620000000000005,1.6549999999999998,0.9060000000000001,2.595,7.558999999999999,3.9599999999999995,2.2760000000000002,1.657,0.63
1.9020000000000001,2.053,1.327,7.970999999999999,1.145,1.3570000000000002,8.98,14.069999999999999,10.018999999999998,7.1739999999999995,3.286,2.469
0.8039999999999999,1.455,1.0150000000000001,4.404000000000001,2.404,1.207,7.362,11.882,4.197000000000001,2.737,1.677,1.1079999999999999
1.709,1.116,0.902,3.0650000000000004,1.0310000000000001,0.8480000000000001,3.7809999999999997,8.34,6.525,5.249,3.049,1.2489999999999999
1.6139999999999999,1.4699999999999998,4.3469999999999995,5.01,1.4909999999999999,1.5499999999999998,6.816,9.995,9.749,6.803,3.752,1.177
